homeTeamStats,awayTeamStats,Stat,id
35.0,17.0,Clearances,93579
1.0,7.0,Corners,93579
2.0,4.0,Offsides,93579
1.0,2.0,Yellow cards,93579
5.0,9.0,Fouls conceded,93579
4.0,2.0,Goal,93579
63.5,36.5,Possession %,93580
2.0,4.0,Shots on target,93580
13.0,12.0,Shots,93580
795.0,515.0,Touches,93580
608.0,341.0,Passes,93580
23.0,17.0,Tackles,93580
25.0,21.0,Clearances,93580
5.0,6.0,Corners,93580
1.0,0.0,Offsides,93580
2.0,1.0,Yellow cards,93580
8.0,4.0,Fouls conceded,93580
1.0,0.0,Goal,93580
58.1,41.9,Possession %,93572
6.0,3.0,Shots on target,93572
16.0,10.0,Shots,93572
683.0,527.0,Touches,93572
512.0,372.0,Passes,93572
13.0,23.0,Tackles,93572
22.0,11.0,Clearances,93572
7.0,2.0,Corners,93572
1.0,2.0,Offsides,93572
1.0,2.0,Yellow cards,93572
7.0,16.0,Fouls conceded,93572
4.0,2.0,Goal,93572
64.6,35.4,Possession %,93574
7.0,3.0,Shots on target,93574
23.0,6.0,Shots,93574
825.0,538.0,Touches,93574
638.0,350.0,Passes,93574
16.0,13.0,Tackles,93574
12.0,28.0,Clearances,93574
11.0,3.0,Corners,93574
1.0,3.0,Offsides,93574
2.0,3.0,Yellow cards,93574
1.0,0.0,Red cards,93574
9.0,14.0,Fouls conceded,93574
1.0,1.0,Goal,93574
55.8,44.2,Possession %,93576
6.0,0.0,Shots on target,93576
15.0,2.0,Shots,93576
668.0,555.0,Touches,93576
477.0,393.0,Passes,93576
13.0,14.0,Tackles,93576
12.0,32.0,Clearances,93576
12.0,3.0,Corners,93576
6.0,2.0,Offsides,93576
3.0,1.0,Yellow cards,93576
0.0,1.0,Red cards,93576
8.0,14.0,Fouls conceded,93576
3.0,0.0,Goal,93576
37.9,62.1,Possession %,93573
4.0,6.0,Shots on target,93573
13.0,15.0,Shots,93573
544.0,776.0,Touches,93573
351.0,582.0,Passes,93573
23.0,12.0,Tackles,93573
26.0,14.0,Clearances,93573
3.0,8.0,Corners,93573
3.0,0.0,Offsides,93573
2.0,2.0,Yellow cards,93573
14.0,6.0,Fouls conceded,93573
0.0,1.0,Goal,93573
54.8,45.2,Possession %,93571
8.0,2.0,Shots on target,93571
18.0,3.0,Shots,93571
702.0,604.0,Touches,93571
557.0,462.0,Passes,93571
11.0,11.0,Tackles,93571
6.0,21.0,Clearances,93571
9.0,0.0,Corners,93571
3.0,2.0,Offsides,93571
1.0,0.0,Yellow cards,93571
15.0,6.0,Fouls conceded,93571
4.0,1.0,Goal,93571
60.8,39.2,Possession %,93577
13.0,3.0,Shots on target,93577
29.0,12.0,Shots,93577
737.0,546.0,Touches,93577
508.0,329.0,Passes,93577
